Samples	input	both_kept	fwd_only	rev_only	dropped	EquCab3.0	canFam6	human_GRch38	phix174	host	nonhost	komplexity
Summit.A	8734223	8364708	65815	53452	250248	2038747	785050	750102	0	2189445	5543614	980736
Summit.D	11416131	10827926	196870	51521	339814	1248889	649888	648076	0	1528510	8987038	423574
Tako.A	5596809	5377531	76650	27332	115296	51188	49527	55990	0	116368	5099776	220743
Tako.D	8065938	7671404	117421	40876	236237	261916	88362	102612	0	337360	7089176	344155
TalkOfTheDown.A	12760050	12106543	212716	46826	393965	534226	191143	203847	1	665332	10974003	700365
TalkOfTheDown.D	14276106	13632451	206551	75519	361585	500342	473814	466814	0	807093	12176550	934615
Tango.A	7331865	6901112	112016	34295	284442	4350419	1359439	1273478	0	4400181	2211322	422133
Tango.D	9645463	9122560	179144	38238	305521	1622951	722849	715055	1	1827335	7054971	339101
TheDingoAteYoBaby.A	4204876	4047984	19920	33768	103204	112620	57099	71601	0	165874	3648857	369421
TheDingoAteYoBaby.D	9592514	9140577	112324	34049	305564	475747	138369	147395	0	573424	8408079	234300
TheyCallThisLopin.A	14986515	14326298	191157	55523	413537	731914	358391	350085	0	935025	12141467	1936072
TheyCallThisLopin.D	12151057	11423298	236700	50438	440621	586795	186757	216859	0	726891	10373296	501085
Trojan.A	10355971	9863140	68960	58441	365430	831657	558761	579802	0	1114295	8431706	458251
Trojan.D	8144729	7739489	125207	36584	243449	334797	98827	104603	0	403934	7076651	377455
Vienna.A	14292218	13536364	228238	59724	467892	622493	263476	262717	0	776683	11922325	1235584
Vienna.D	10662165	10092974	156345	57496	355350	291051	150798	138119	0	424096	9264719	589223
VincentVanWhoa.A	13319170	12654402	244494	63010	357264	337337	150016	146233	0	472252	11759362	588270
VincentVanWhoa.D	1462827	1422985	18361	10110	11371	149619	51133	44841	0	155985	1166798	131108
Vroom.A	12920217	12267150	160902	85370	406795	609593	497094	500580	0	918666	10768570	862375
Vroom.D	8158638	7752972	110085	34664	260917	349682	189537	196498	0	485347	7042965	325169
WhosCozy.A	8226381	7827807	111402	32698	254474	531423	395044	411250	0	735596	6840104	380571
WhosCozy.D	12039761	11477866	198066	46651	317178	249975	126435	144581	0	392316	10801329	402011
Winnie.A	1683831	1623153	19193	7055	34430	63184	55093	40943	0	93223	1462218	108622
Winnie.D	1620174	1567202	11070	8659	33243	61048	18904	26068	0	75404	1415331	121898
mockdna1.20240501	1764404	1681689	43924	5737	33054	10152	13630	10540	0	28441	1643781	12087
mockdna3.20240501	798078	773636	16691	4012	3739	1299	1124	878	0	2508	764460	7478
mockdna5.20240501	69159	67682	774	388	315	126	79	102	0	252	67007	554
